iter	Logloss
0	0.6731398919
1	0.6569402632
2	0.6383650535
3	0.6239865838
4	0.6108135341
5	0.599601101
6	0.5901403561
7	0.5799082751
8	0.5689816116
9	0.5597503685
10	0.5522860003
11	0.54601048
12	0.5406633221
13	0.5336519293
14	0.5265613768
15	0.5215088713
16	0.515940767
17	0.5109776226
18	0.505479765
19	0.5007811991
20	0.4959203317
21	0.4903178472
22	0.4860874058
23	0.4830830523
24	0.4793536037
25	0.4756308104
26	0.4719992997
27	0.4689383164
28	0.4658160293
29	0.4627192515
30	0.4591812888
31	0.4560528997
32	0.4522218537
33	0.4492676115
34	0.4463980705
35	0.4438634748
36	0.4413257645
37	0.4388051854
38	0.4366225214
39	0.4346695033
40	0.4318889451
41	0.4289722278
42	0.4266208359
43	0.4240076462
44	0.422186681
45	0.4197560924
46	0.4175932552
47	0.4155974389
48	0.4134683291
49	0.4111606417
50	0.4088150731
51	0.4059400051
52	0.404173624
53	0.4018374604
54	0.4001139911
55	0.3974271968
56	0.3953947831
57	0.3935165673
58	0.3913566258
59	0.389660197
60	0.3876202244
61	0.3858467323
62	0.3844849984
63	0.3822933964
64	0.3807631528
65	0.3791426442
66	0.3775075008
67	0.3754836297
68	0.374101471
69	0.3725089459
70	0.3713858329
71	0.3700658279
72	0.3688323462
73	0.3674825957
74	0.3658747194
75	0.3637066516
76	0.3623652002
77	0.3610477805
78	0.3598221732
79	0.3583011947
80	0.3570902189
81	0.355689198
82	0.3544578803
83	0.3529186062
84	0.3512671906
85	0.3501039411
86	0.3488069144
87	0.3471553624
88	0.3464412558
89	0.3452733395
90	0.3437248402
91	0.3425642574
92	0.3412866451
93	0.3401805337
94	0.3390876279
95	0.3374103365
96	0.3360522529
97	0.3350560953
98	0.3335063013
99	0.3318148899
100	0.3306532516
101	0.3296491726
102	0.3275491462
103	0.3259317628
104	0.325186057
105	0.3244522999
106	0.3233853413
107	0.3223846407
108	0.3212245983
109	0.3202155642
110	0.319378041
111	0.3179444727
112	0.3166093745
113	0.3156665127
114	0.3148551857
115	0.3140555789
116	0.3130514683
117	0.312071012
118	0.3113587171
119	0.3105577664
120	0.3096101428
121	0.3088665898
122	0.3077249584
123	0.3070481192
124	0.3061116855
125	0.304997969
126	0.3039846931
127	0.3031253885
128	0.3023360174
129	0.3017442381
130	0.3007571694
131	0.2994029508
132	0.2982737651
133	0.2971789495
134	0.2964520506
135	0.2952637212
136	0.294209287
137	0.293001392
138	0.2921803324
139	0.2911976124
140	0.290207578
141	0.2895201677
142	0.2886467618
143	0.2878054005
144	0.286772067
145	0.285793435
146	0.2851012297
147	0.2843852274
148	0.2836408054
149	0.2823174526
150	0.2814262976
151	0.2808333375
152	0.2799414651
153	0.2792656023
154	0.2782140286
155	0.2777060819
156	0.2767519234
157	0.2758309036
158	0.2751436636
159	0.2744035991
160	0.273602667
161	0.2728419013
162	0.2719818564
163	0.27104539
164	0.2699512146
165	0.2694432831
166	0.2689908626
167	0.2683828642
168	0.2676380228
169	0.2668781688
170	0.2657907024
171	0.265138985
172	0.264166466
173	0.2634894417
174	0.2627428187
175	0.2621777529
176	0.2615225759
177	0.2608958232
178	0.2603159017
179	0.259799859
180	0.2590372123
181	0.2585191709
182	0.2579597665
183	0.2569787889
184	0.2558906066
185	0.2551611435
186	0.2546509198
187	0.2539909626
188	0.2535772788
189	0.2527822997
190	0.2523632528
191	0.2518288304
192	0.2512507757
193	0.2504813482
194	0.2495298192
195	0.2487152443
196	0.248047206
197	0.2475682562
198	0.246885908
199	0.2462630846
200	0.245850709
201	0.2450982224
202	0.244601698
203	0.2440007867
204	0.2434455339
205	0.2430069398
206	0.2424232319
207	0.2418279779
208	0.2409443302
209	0.240392802
210	0.2396810616
211	0.2391208807
212	0.2381614827
213	0.2376065848
214	0.237089182
215	0.2365369043
216	0.2359925175
217	0.2350788299
218	0.2343115244
219	0.2339056785
220	0.2336323647
221	0.2330469808
222	0.2324256076
223	0.2315783931
224	0.2310720498
225	0.230566845
226	0.2299358023
227	0.2292995848
228	0.2285257541
229	0.2280287749
230	0.2276435672
231	0.227110866
232	0.226615503
233	0.2259252142
234	0.2254522123
235	0.2249647068
236	0.2243714968
237	0.2238703146
238	0.223221149
239	0.2222982792
240	0.2217490568
241	0.2211734703
242	0.2206020038
243	0.2203554345
244	0.2197553872
245	0.2191213133
246	0.2187602072
247	0.2181960983
248	0.2178521657
249	0.2173074123
250	0.2166304369
251	0.216169724
252	0.2156533562
253	0.2152271803
254	0.2148013836
255	0.2140307261
256	0.2136428
257	0.2133082143
258	0.2129424346
259	0.212338729
260	0.2119746391
261	0.2115052824
262	0.2110652146
263	0.2105836469
264	0.210295625
265	0.2095827039
266	0.2089945252
267	0.2086564993
268	0.2081031059
269	0.2075217327
270	0.2070031165
271	0.2066336829
272	0.2062656506
273	0.2057452162
274	0.2053273713
275	0.2046094797
276	0.2040032389
277	0.2034911522
278	0.2030750153
279	0.2026012448
280	0.2020364471
281	0.2017169132
282	0.2013260188
283	0.2009129639
284	0.2003602732
285	0.1998130597
286	0.1993202084
287	0.1989021685
288	0.1986051013
289	0.1980020286
290	0.1977642346
291	0.1974024373
292	0.1967914044
293	0.1964719772
294	0.1958874933
295	0.1954808581
296	0.1948909673
297	0.194511477
298	0.1942378729
299	0.1937633076
300	0.193222687
301	0.192800176
302	0.1923798433
303	0.1916728158
304	0.1911409047
305	0.1907599795
306	0.1905083683
307	0.190252792
308	0.1899290608
309	0.1895082838
310	0.1890401573
311	0.1886696724
312	0.1882485157
313	0.1878354491
314	0.1874763788
315	0.1871258534
316	0.1868111852
317	0.1864063746
318	0.185892181
319	0.1855364776
320	0.1851591168
321	0.1849507155
322	0.18435321
323	0.1840173554
324	0.1837900572
325	0.1832853739
326	0.1828599414
327	0.1824804317
328	0.1819213244
329	0.1815519016
330	0.1811549157
331	0.1808133896
332	0.1804522742
333	0.1800831295
334	0.17960093
335	0.1794036478
336	0.1789636697
337	0.1787650969
338	0.1783664119
339	0.1780447343
340	0.1776485869
341	0.1772150545
342	0.1768646003
343	0.1764639268
344	0.1762097718
345	0.175890567
346	0.1754834297
347	0.1750527666
348	0.1746124052
349	0.1740850024
350	0.1737746355
351	0.1734702996
352	0.1730118496
353	0.1727230171
354	0.1724954583
355	0.1720900497
356	0.1717138284
357	0.1712317743
358	0.1708895357
359	0.170544246
360	0.1702557808
361	0.1699751682
362	0.1696479936
363	0.1692979537
364	0.168970964
365	0.1685996779
366	0.1682934979
367	0.1678897699
368	0.167298552
369	0.1668474803
370	0.1666204057
371	0.166396937
372	0.1659678576
373	0.1658198187
374	0.1656046617
375	0.1652898771
376	0.1649188713
377	0.1647056193
378	0.1643710418
379	0.163995857
380	0.1636396221
381	0.1632632763
382	0.1629402756
383	0.1626433148
384	0.1622863216
385	0.1620557325
386	0.1616288562
387	0.1613885264
388	0.1610921127
389	0.1607352829
390	0.1603892271
391	0.1601527704
392	0.1599763315
393	0.159630353
394	0.1593934675
395	0.1591288604
396	0.1588489725
397	0.1584914625
398	0.1580672852
399	0.1578124503
400	0.1574596094
401	0.1571599467
402	0.1567241006
403	0.1564321965
404	0.156240675
405	0.1558540709
406	0.1556329387
407	0.155505949
408	0.1551688955
409	0.1548040093
410	0.1544755971
411	0.1542752626
412	0.153836773
413	0.1533987322
414	0.1532035708
415	0.1528909893
416	0.1527162874
417	0.1524521946
418	0.1521795294
419	0.1517361897
420	0.1513181628
421	0.1509388496
422	0.1506030993
423	0.1501681803
424	0.1500237527
425	0.1497181555
426	0.1493534022
427	0.1490567417
428	0.148813762
429	0.1486728918
430	0.1482822254
431	0.1480062823
432	0.1475405403
433	0.1471170648
434	0.1469091753
435	0.1466032406
436	0.1461461783
437	0.1458262502
438	0.1456921164
439	0.1452954713
440	0.1450104634
441	0.1448059936
442	0.1445782668
443	0.1443147332
444	0.1440475845
445	0.1437382918
446	0.1435328459
447	0.1432420167
448	0.1428718942
449	0.1425408757
450	0.1422332638
451	0.1418477837
452	0.1416764432
453	0.1413140873
454	0.1410632304
455	0.1406362942
456	0.1404590131
457	0.1401621764
458	0.1398579952
459	0.1395921771
460	0.1393894556
461	0.1390856172
462	0.1389391377
463	0.1386498729
464	0.138370083
465	0.138063472
466	0.137837903
467	0.1375599044
468	0.1373691783
469	0.1370180982
470	0.1366459502
471	0.1363992556
472	0.136088224
473	0.1358446689
474	0.1356620849
475	0.1354382545
476	0.1350996568
477	0.1348439064
478	0.1345181611
479	0.1342135552
480	0.1340218349
481	0.133752177
482	0.1335567493
483	0.1333263094
484	0.1331620628
485	0.1328847238
486	0.1326722702
487	0.1325014613
488	0.1322275602
489	0.1320146753
490	0.1319187958
491	0.1316692852
492	0.1315168624
493	0.1312834116
494	0.131133058
495	0.1309131117
496	0.130743694
497	0.1305033773
498	0.130346652
499	0.1301364338
500	0.1299229019
501	0.1297396694
502	0.1295569456
503	0.129417669
504	0.1290835036
505	0.1288076213
506	0.128563377
507	0.1283617488
508	0.1282025945
509	0.1279388612
510	0.1277502891
511	0.1275642791
512	0.127277062
513	0.127122732
514	0.1269585469
515	0.1267465506
516	0.1266767119
517	0.1265023686
518	0.1263509815
519	0.1260914184
520	0.1258524304
521	0.1257560574
522	0.1255430457
523	0.1253672376
524	0.1252423299
525	0.1249570869
526	0.1247077737
527	0.1244728417
528	0.124294495
529	0.124075706
530	0.1237982077
531	0.1236062456
532	0.1234227249
533	0.1232475329
534	0.1229216493
535	0.1227058943
536	0.122443867
537	0.1221464523
538	0.1218995663
539	0.1217126273
540	0.1215573281
541	0.1214789346
542	0.1212897786
543	0.1211998653
544	0.1209745809
545	0.1208681606
546	0.1206758611
547	0.1205796173
548	0.1203206424
549	0.1201851676
550	0.1199882764
551	0.1197044039
552	0.1195549343
553	0.1192734282
554	0.1190850251
555	0.1189239136
556	0.1187376596
557	0.1185963774
558	0.1184497951
559	0.1182690621
560	0.1180836801
561	0.1179741165
562	0.1177223541
563	0.1175681275
564	0.1174600723
565	0.1173100784
566	0.1171335401
567	0.1169076297
568	0.116734913
569	0.116425013
570	0.1162415955
571	0.1161038486
572	0.115977938
573	0.1157436527
574	0.1155779397
575	0.1153268889
576	0.115170252
577	0.1150136426
578	0.1147769945
579	0.1145729886
580	0.1143930239
581	0.1141317766
582	0.1139724045
583	0.1138405583
584	0.113725463
585	0.1135347903
586	0.1133119937
587	0.1132249386
588	0.1130224507
589	0.1127204763
590	0.1125132289
591	0.112221479
592	0.1120537146
593	0.1120065372
594	0.1119122217
595	0.1116122161
596	0.111420452
597	0.1112409672
598	0.1111180005
599	0.1108791371
600	0.1106597187
601	0.110405079
602	0.1102464077
603	0.1101948304
604	0.1099689574
605	0.1098516797
606	0.1097215752
607	0.1095768289
608	0.1093298346
609	0.1091612686
610	0.1088952579
611	0.1087064039
612	0.1085723199
613	0.1083762855
614	0.1082333788
615	0.1081068272
616	0.1078780483
617	0.1077199749
618	0.107592836
619	0.1073671721
620	0.1071563987
621	0.1070941069
622	0.1068451064
623	0.1066656806
624	0.1065027962
625	0.1063076886
626	0.1060418761
627	0.1058852874
628	0.1057812436
629	0.1055702991
630	0.1054488812
631	0.105298113
632	0.1050201863
633	0.1048745312
634	0.1046820445
635	0.1044596038
636	0.1044140583
637	0.1041654164
638	0.1039251171
639	0.1037640323
640	0.1036334984
641	0.1035567974
642	0.103355924
643	0.1031979421
644	0.1030488173
645	0.1029099632
646	0.1026871177
647	0.1024668093
648	0.1023668239
649	0.1021577933
650	0.1020125206
651	0.1018139153
652	0.1016788518
653	0.1015901541
654	0.1013568001
655	0.1012007468
656	0.1010638313
657	0.1008046192
658	0.1007345278
659	0.1005627666
660	0.1004162826
661	0.1003309403
662	0.1001873611
663	0.1000688037
664	0.09994175238
665	0.09990746071
666	0.09978897521
667	0.0996134128
668	0.09945408992
669	0.09938567785
670	0.09921351485
671	0.09907431109
672	0.09901125741
673	0.0988906576
674	0.09878004548
675	0.09859872611
676	0.09840076105
677	0.09822542
678	0.09810972099
679	0.09793949052
680	0.09775106321
681	0.09755950207
682	0.09738007781
683	0.09720905785
684	0.09702554806
685	0.09689871737
686	0.09682135004
687	0.09669365879
688	0.09657035122
689	0.09641921379
690	0.09624192499
691	0.09610482317
692	0.09601011023
693	0.09581675206
694	0.09572169688
695	0.095585466
696	0.09547991046
697	0.09536024477
698	0.09520667074
699	0.09512542364
700	0.09498496429
701	0.0948403451
702	0.09474744191
703	0.09471255194
704	0.09461994734
705	0.09450105682
706	0.09439745227
707	0.09425669723
708	0.09409300153
709	0.09393697687
710	0.09378911729
711	0.09363577505
712	0.09353083209
713	0.09340767108
714	0.09328875211
715	0.09313327577
716	0.09303084898
717	0.09289547897
718	0.09278970577
719	0.09266458576
720	0.0925358637
721	0.09241523343
722	0.09228541769
723	0.09219498817
724	0.09212287335
725	0.09200245971
726	0.09191226988
727	0.09175966739
728	0.09170637385
729	0.09156576243
730	0.09143408012
731	0.09129496285
732	0.09115399209
733	0.09092725972
734	0.09074211664
735	0.09064784762
736	0.0905762542
737	0.09047304199
