iter	Passed	Remaining
0	10	20450
1	19	19506
2	28	18925
3	38	19295
4	47	18941
5	55	18607
6	64	18386
7	73	18211
8	81	18088
9	90	18046
10	99	17927
11	108	17941
12	116	17856
13	126	17909
14	138	18286
15	146	18208
16	155	18177
17	164	18141
18	174	18172
19	183	18127
20	192	18101
21	201	18096
22	210	18091
23	219	18045
24	227	18001
25	236	17992
26	245	17918
27	253	17872
28	262	17838
29	271	17797
30	279	17763
31	290	17843
32	298	17797
33	307	17789
34	316	17762
35	325	17761
36	335	17792
37	344	17763
38	352	17729
39	361	17698
40	369	17671
41	379	17692
42	388	17678
43	396	17639
44	405	17631
45	415	17644
46	424	17630
47	433	17629
48	442	17607
49	450	17581
50	459	17558
51	468	17553
52	477	17537
53	486	17525
54	494	17495
55	503	17489
56	512	17467
57	521	17462
58	531	17486
59	541	17500
60	550	17492
61	559	17475
62	567	17456
63	576	17435
64	585	17421
65	593	17402
66	602	17393
67	611	17368
68	620	17360
69	630	17375
70	638	17352
71	647	17333
72	655	17311
73	664	17297
74	673	17275
75	682	17273
76	691	17260
77	700	17260
78	708	17239
79	717	17230
80	726	17220
81	736	17226
82	745	17220
83	754	17206
84	763	17194
85	771	17173
86	780	17172
87	789	17162
88	798	17149
89	807	17131
90	815	17110
91	824	17091
92	834	17115
93	843	17104
94	852	17101
95	861	17083
96	870	17070
97	878	17057
98	887	17046
99	896	17039
100	905	17021
101	914	17010
102	923	17004
103	934	17031
104	943	17021
105	951	17008
106	960	16987
107	968	16967
108	977	16952
109	985	16937
110	994	16930
111	1003	16923
112	1013	16926
113	1022	16913
114	1031	16905
115	1039	16890
116	1048	16875
117	1057	16867
118	1069	16902
119	1080	16921
120	1089	16919
121	1099	16917
122	1108	16913
123	1116	16898
124	1128	16920
125	1136	16908
126	1145	16898
127	1154	16883
128	1163	16876
129	1172	16867
130	1181	16855
131	1189	16839
132	1199	16834
133	1208	16829
134	1216	16809
135	1226	16806
136	1235	16795
137	1244	16786
138	1252	16773
139	1261	16761
140	1270	16748
141	1280	16759
142	1289	16742
143	1297	16728
144	1306	16720
145	1315	16703
146	1323	16687
147	1334	16693
148	1342	16682
149	1351	16671
150	1360	16659
151	1369	16651
152	1378	16639
153	1387	16628
154	1396	16620
155	1405	16613
156	1415	16612
157	1425	16623
158	1435	16619
159	1444	16610
160	1453	16604
161	1462	16595
162	1471	16587
163	1481	16582
164	1490	16579
165	1499	16571
166	1509	16564
167	1517	16552
168	1527	16549
169	1536	16541
170	1546	16541
171	1555	16535
172	1565	16531
173	1574	16524
174	1583	16515
175	1592	16507
176	1601	16499
177	1610	16489
178	1620	16481
179	1629	16472
180	1638	16465
181	1647	16455
182	1656	16444
183	1665	16435
184	1674	16431
185	1684	16432
186	1693	16422
187	1703	16415
188	1712	16404
189	1722	16408
190	1733	16418
191	1743	16418
192	1753	16417
193	1763	16415
194	1772	16410
195	1782	16407
196	1792	16408
197	1803	16409
198	1812	16407
199	1824	16419
200	1834	16419
201	1844	16421
202	1854	16420
203	1864	16415
204	1874	16412
205	1884	16408
206	1893	16403
207	1904	16404
208	1914	16403
209	1923	16398
210	1933	16397
211	1944	16398
212	1954	16395
213	1964	16392
214	1974	16389
215	1984	16386
216	1993	16383
217	2003	16380
218	2014	16379
219	2024	16381
220	2034	16376
221	2044	16373
222	2053	16367
223	2063	16363
224	2073	16357
225	2083	16356
226	2093	16353
227	2103	16350
228	2114	16351
229	2125	16359
230	2135	16350
231	2144	16346
232	2154	16341
233	2164	16337
234	2174	16334
235	2184	16331
236	2195	16331
237	2205	16328
238	2216	16332
239	2226	16330
240	2236	16325
241	2245	16313
242	2254	16300
243	2264	16294
244	2273	16284
245	2282	16274
246	2291	16261
247	2300	16250
248	2309	16237
249	2318	16228
250	2329	16234
251	2339	16225
252	2350	16227
253	2359	16218
254	2368	16209
255	2377	16200
256	2387	16191
257	2396	16179
258	2405	16167
259	2413	16152
260	2424	16152
261	2432	16137
262	2441	16124
263	2449	16109
264	2458	16094
265	2467	16082
266	2476	16071
267	2484	16059
268	2494	16049
269	2502	16035
270	2511	16024
271	2520	16011
272	2529	15999
273	2537	15984
274	2546	15973
275	2554	15959
276	2563	15947
277	2572	15935
278	2580	15920
279	2589	15908
280	2598	15893
281	2607	15883
282	2615	15870
283	2625	15863
284	2636	15863
285	2645	15852
286	2654	15845
287	2663	15832
288	2672	15822
289	2681	15812
290	2690	15801
291	2698	15787
292	2707	15774
293	2716	15760
294	2725	15753
295	2734	15740
296	2743	15728
297	2751	15715
298	2760	15704
299	2769	15692
300	2778	15682
301	2787	15672
302	2796	15660
303	2804	15647
304	2813	15635
305	2824	15637
306	2833	15624
307	2841	15609
308	2849	15596
309	2858	15583
310	2867	15573
311	2875	15559
312	2885	15551
313	2894	15542
314	2903	15530
315	2911	15516
316	2922	15516
317	2931	15505
318	2940	15494
319	2948	15482
320	2957	15468
321	2965	15456
322	2974	15444
323	2983	15433
324	2992	15421
325	3000	15408
326	3009	15395
327	3019	15389
328	3027	15376
329	3036	15365
330	3044	15352
331	3053	15339
332	3062	15330
333	3071	15319
334	3079	15307
335	3088	15295
336	3097	15284
337	3105	15271
338	3114	15259
339	3125	15259
340	3134	15251
341	3143	15241
342	3152	15230
343	3161	15220
344	3170	15208
345	3179	15198
346	3188	15187
347	3196	15174
348	3205	15162
349	3213	15151
350	3223	15143
351	3232	15134
352	3240	15120
353	3251	15116
354	3259	15104
355	3268	15094
356	3277	15083
357	3286	15072
358	3295	15061
359	3303	15049
360	3312	15037
361	3321	15027
362	3329	15015
363	3338	15005
364	3347	14993
365	3355	14980
366	3364	14972
367	3373	14961
368	3382	14952
369	3392	14943
370	3400	14932
371	3409	14920
372	3418	14910
373	3427	14902
374	3435	14888
375	3444	14877
376	3453	14865
377	3461	14855
378	3470	14843
379	3479	14833
380	3488	14822
381	3497	14815
382	3506	14804
383	3516	14798
384	3525	14786
385	3534	14776
386	3542	14766
387	3551	14754
388	3560	14744
389	3568	14732
390	3577	14723
391	3586	14711
392	3595	14700
393	3603	14689
394	3612	14679
395	3622	14671
396	3630	14661
397	3639	14650
398	3648	14641
399	3658	14632
400	3667	14624
401	3676	14615
402	3685	14606
403	3695	14598
404	3703	14586
405	3712	14576
406	3721	14567
407	3730	14556
408	3738	14543
409	3747	14532
410	3756	14522
411	3765	14511
412	3774	14502
413	3782	14491
414	3791	14480
415	3800	14470
416	3810	14466
417	3821	14461
418	3829	14449
419	3837	14437
420	3846	14427
421	3855	14416
422	3863	14405
423	3873	14396
424	3881	14386
425	3890	14374
426	3899	14365
427	3908	14355
428	3918	14351
429	3927	14340
430	3937	14333
431	3946	14323
432	3955	14316
433	3964	14304
434	3973	14293
435	3981	14282
436	3991	14274
437	3999	14263
438	4008	14253
439	4018	14245
440	4026	14234
441	4034	14222
442	4043	14210
443	4052	14201
444	4060	14190
445	4070	14182
446	4078	14170
447	4087	14161
448	4096	14149
449	4105	14140
450	4115	14136
451	4124	14125
452	4133	14115
453	4141	14103
454	4150	14093
455	4159	14083
456	4168	14073
457	4177	14064
458	4186	14054
459	4194	14043
460	4203	14032
461	4213	14025
462	4221	14014
463	4230	14004
464	4240	13997
465	4249	13989
466	4258	13980
467	4268	13972
468	4277	13963
469	4286	13954
470	4296	13946
471	4305	13936
472	4315	13932
473	4324	13922
474	4333	13913
475	4342	13902
476	4352	13895
477	4361	13885
478	4369	13875
479	4378	13865
480	4387	13854
481	4396	13845
482	4404	13833
483	4413	13823
484	4422	13813
485	4430	13803
486	4439	13793
487	4448	13783
488	4457	13773
489	4466	13764
490	4474	13752
491	4483	13741
492	4491	13729
493	4500	13719
494	4508	13707
495	4518	13701
496	4526	13689
497	4536	13680
498	4545	13671
499	4553	13661
500	4562	13650
501	4570	13639
502	4579	13629
503	4587	13618
504	4597	13610
505	4606	13600
506	4616	13594
507	4625	13585
508	4634	13574
509	4643	13566
510	4652	13556
511	4661	13548
512	4670	13539
513	4679	13528
514	4687	13517
515	4697	13508
516	4705	13498
517	4715	13490
518	4724	13481
519	4733	13471
520	4741	13461
521	4750	13450
522	4759	13440
523	4767	13429
524	4776	13418
525	4785	13408
526	4794	13399
527	4803	13391
528	4812	13382
529	4821	13372
530	4830	13362
531	4838	13352
532	4847	13341
533	4856	13331
534	4864	13321
535	4875	13316
536	4884	13307
537	4893	13299
538	4903	13290
539	4912	13280
540	4920	13270
541	4929	13259
542	4938	13249
543	4946	13238
544	4955	13228
545	4963	13217
546	4972	13208
547	4980	13197
548	4989	13186
549	4997	13175
550	5006	13165
551	5015	13156
552	5023	13145
553	5032	13134
554	5041	13125
555	5049	13114
556	5058	13104
557	5067	13095
558	5075	13084
559	5084	13074
560	5093	13064
561	5102	13055
562	5113	13050
563	5122	13041
564	5130	13029
565	5139	13021
566	5147	13010
567	5156	13000
568	5165	12991
569	5174	12981
570	5183	12972
571	5192	12962
572	5201	12952
573	5210	12944
574	5219	12935
575	5228	12925
576	5236	12914
577	5245	12904
578	5254	12895
579	5262	12884
580	5271	12874
581	5280	12864
582	5288	12854
583	5297	12844
584	5307	12838
585	5317	12831
586	5325	12820
587	5334	12810
588	5343	12799
589	5352	12790
590	5360	12780
591	5369	12769
592	5377	12758
593	5386	12748
594	5394	12737
595	5403	12729
596	5413	12722
597	5422	12712
598	5430	12701
599	5439	12691
600	5448	12681
601	5456	12672
602	5465	12662
603	5473	12651
604	5482	12640
605	5490	12630
606	5499	12619
607	5508	12610
608	5517	12602
609	5526	12592
610	5534	12582
611	5543	12572
612	5552	12563
613	5561	12553
614	5569	12542
615	5578	12533
616	5586	12522
617	5595	12513
618	5604	12504
619	5614	12495
620	5622	12486
621	5631	12477
622	5640	12466
623	5649	12458
624	5659	12449
625	5667	12440
626	5676	12431
627	5685	12421
628	5693	12410
629	5702	12400
630	5712	12393
631	5720	12382
632	5729	12372
633	5738	12363
634	5747	12354
635	5756	12345
636	5764	12334
637	5773	12324
638	5782	12315
639	5790	12305
640	5800	12297
641	5810	12291
642	5819	12280
643	5827	12270
644	5836	12261
645	5845	12251
646	5854	12242
647	5863	12233
648	5872	12225
649	5881	12215
650	5889	12204
651	5898	12194
652	5908	12188
653	5917	12177
654	5926	12169
655	5934	12158
656	5943	12148
657	5952	12139
658	5960	12128
659	5969	12119
660	5978	12110
661	5987	12100
662	5996	12091
663	6005	12083
664	6013	12073
665	6022	12062
666	6030	12052
667	6039	12043
668	6048	12033
669	6056	12023
670	6065	12013
671	6074	12004
672	6082	11993
673	6091	11984
674	6100	11974
675	6111	11970
